51-70-28-891076-001-01 121             2    1
51-70-28-891076-001-01 2111  49.2151.912    1
51-70-28-891076-001-01 32221           2    1
51-70-28-891076-001-01 4221  18.4105.211    1
45-88-08-271077-001-01 121             2    1
45-88-08-271077-001-01 3111    69161.612    1
45-88-08-271077-001-01 41121           2    1
45-88-08-271077-001-01 52221           2    1
45-88-08-271077-001-01 6111  83.3147.412    1
45-88-08-271077-001-01 7221  15.9 97.911  171
83-42-33-561078-001-01 121             2    1
83-42-33-561078-001-01 2111    53158.512    1
83-42-33-561078-001-01 3221  31.2146.412    1
83-42-33-561078-001-01 4111    52159.812    1
83-42-33-561078-001-01 5221    29140.812    1
83-42-33-561078-001-01 6221    17109.412    1
83-42-33-561078-001-01 7221     8 69.911  131
51-38-42-661079-001-01 121             2    1
51-38-42-661079-001-01 2111  52.4152.612    1
51-38-42-661079-001-01 321             2    1
51-38-42-661079-001-01 41121           2    1
51-38-42-661079-001-01 521             2    1
51-38-42-661079-001-01 6221  38.1150.612    1
51-38-42-661079-001-01 7221  27.1130.712    1
70-13-86-621080-001-01 121             2    1
70-13-86-621080-001-01 2111  73.5  15112    1
70-13-86-621080-001-01 3221  27.6  12912    1
70-13-86-621080-001-01 4221  23.9  12412    1
70-13-86-621080-001-01 52221           2    1
70-13-86-621080-001-01 6221  16.6104.41114.61
70-13-86-621080-001-01 7221   9.1 74.411  151
15-64-51-681081-001-01 121             2    1
15-64-51-681081-001-01 2111  58.8156.412    1
15-64-51-681081-001-01 3221  29.5  14512    1
15-64-51-681081-001-01 4221  18.9115.112    1
15-64-51-681081-001-01 5221  12.5 88.51114.61
40-74-76-771082-001-01 121             2    1
40-74-76-771082-001-01 2111  47.5155.412    1
40-74-76-771082-001-01 4111  49.6158.812    1
71-92-06-801083-001-01 121             2    1
71-92-06-801083-001-01 221             2    1
71-92-06-801083-001-01 4111  45.6  15212    1
71-92-06-801083-001-01 5221   6.6 66.72113.71
91-21-42-141095-001-01 1111    45156.612    1
91-21-42-141095-001-01 221             2    1
91-21-42-141095-001-01 3221    15101.112    1
91-21-42-141095-001-01 4221  20.1120.312    1
91-21-42-141095-001-01 5221  19.5  11512    1
91-21-42-141095-001-01 6221  11.2 80.511  151
33-55-42-431096-001-01 121             2    1
33-55-42-431096-001-01 2111  55.7151.312    1
33-55-42-431096-001-01 52221           2    1
33-55-42-431096-001-01 6221  24.8125.912    1
33-55-42-431096-001-01 7221  17.4114.512    1
33-55-42-431096-001-01 8221  12.2 85.511  151
33-55-42-431096-001-01 9221     8 66.42114.31
38-42-24-051096-001-03 121             2    1
38-42-24-051096-001-03 2111  49.8  15912    1
38-42-24-051096-001-03 3221   8.4 64.72114.81
13-90-80-111097-001-01 1111  51.9159.612    1
13-90-80-111097-001-01 321             2    1
13-90-80-111097-001-01 522             2    1
13-90-80-111097-001-01 6221  25.1133.212    1
13-90-80-111097-001-01 7221  22.2124.412    1
13-90-80-111097-001-01 8221    18114.912    1
13-90-80-111097-001-01 9221  26.4129.912    1
13-90-80-111097-001-0110221    13   9611    1
13-90-80-111097-001-0111221  10.8 82.61115.31
84-61-10-621097-001-02 121             2    1
84-61-10-621097-001-02 2111  42.3155.712    1
84-61-10-621097-001-02 3221   9.1 75.82114.31
74-62-00-181097-001-04 121             2    1
74-62-00-181097-001-04 2111    63164.312    1
12-20-57-631098-001-01 1111  46.7157.612    1
12-20-57-631098-001-01 22221           2    1
12-20-57-631098-001-01 3221  19.6113.912    1
12-20-57-631098-001-01 4221  15.8106.112    1
12-20-57-631098-001-01 5221  13.6 98.811    1
12-20-57-631098-001-01 6221  12.1 87.41114.11
12-20-57-631098-001-01 7221   8.6 69.22114.11
35-42-42-501099-001-01 1111  57.4157.512    1
35-42-42-501099-001-01 2221  15.5104.912    1
35-42-42-501099-001-01 3221  15.1  10511  141
35-42-42-501099-001-01 4221  10.1 80.81114.21
42-46-16-511100-001-01 1111  52.5  15612    1
42-46-16-511100-001-01 2221  28.9135.312    1
42-46-16-511100-001-01 3221  21.1120.712    1
42-46-16-511100-001-01 42221           2    1
42-46-16-511100-001-01 5221  12.5 90.112    1
42-46-16-511100-001-01 6221  11.7 89.311  131
42-46-16-511100-001-01 7221  11.5 77.31115.91
19-26-42-801102-001-01 1111  50.8165.412    1
19-26-42-801102-001-01 2221  26.4128.512    1
19-26-42-801102-001-01 3221  20.6121.812    1
19-26-42-801102-001-01 4221    18  11412    1
19-26-42-801102-001-01 522             2    1
19-26-42-801102-001-01 6221  12.6 83.521  141
86-26-96-591114-001-01 121             2    1
86-26-96-591114-001-01 2111  55.3154.612    1
86-26-96-591114-001-01 32221           2    1
02-37-07-591114-001-02 221             2    1
66-86-03-221116-001-01 121             2    1
66-86-03-221116-001-01 2111  84.8163.512    1
66-86-03-221116-001-01 4221  55.7150.512    1
66-86-03-221116-001-01 5221  31.8  13812    1
66-86-03-221116-001-01 6221  28.2134.312    1
66-86-03-221116-001-01 7221  16.8108.511    1
93-26-69-751118-001-01 121             2    1
93-26-69-751118-001-01 221             2    1
93-26-69-751118-001-01 421             2    1
93-26-69-751118-001-01 5121  42.2153.112    1
90-93-28-881119-001-02 21121           2    1
90-93-28-881119-001-02 31121           2    1
90-93-28-881119-001-02 421             2    1
90-93-28-881119-001-02 52221           2    1
90-93-28-881119-001-02 6111  61.5151.112    1
90-93-28-881119-001-02 721             2    1
90-93-28-881119-001-02 821             2    1
90-93-28-881119-001-02 921             2    1
90-93-28-881119-001-02102221           2    1
90-93-28-881119-001-021121             2    1
90-93-28-881119-001-021221             2    1
88-29-40-911120-001-02 2111  88.9146.612    1
88-29-40-911120-001-02 32221           2    1
88-29-40-911120-001-02 5221  27.4127.412    1
45-81-76-581122-001-02 2111  59.6167.412    1
45-81-76-581122-001-02 321             2    1
45-81-76-581122-001-02 41121           2    1
08-25-45-411134-001-01 121             2    1
08-25-45-411134-001-01 221             2    1
43-81-40-331134-001-03 321             2    1
43-81-40-331134-001-03 621             2    1
43-81-40-331134-001-03 81121           2    1
43-81-40-331134-001-03 9111  73.1153.412    1
43-81-40-331134-001-031021             2    1
43-81-40-331134-001-0311221  16.8103.91117.41
43-81-40-331134-001-03122221           1    1
43-81-40-331134-001-0313111  60.1154.212    1
69-30-97-631135-001-01 121             2    1
69-30-97-631135-001-01 2111 105.1167.412    1
69-30-97-631135-001-01 321             2    1
54-29-44-611140-001-01 121             2    1
54-29-44-611140-001-01 2111  72.5158.812    1
54-29-44-611140-001-01 421             2    1
54-29-44-611140-001-01 521             2    1
11-40-59-091140-001-03 121             2    1
11-40-59-091140-001-03 2111 104.1168.112    1
11-40-59-091140-001-03 3221  18.8116.312    1
11-40-59-091140-001-03 4221  12.5 32.51115.41
39-14-27-761142-001-01 121             2    1
39-14-27-761142-001-01 2111   119163.212    1
39-14-27-761142-001-01 322             2    1
39-14-27-761142-001-01 4221  34.2  13912    1
31-67-12-821152-001-01 121             2    1
13-35-77-181154-001-01 121             2    1
31-48-95-021155-001-01 121             2    1
31-48-95-021155-001-01 2111  63.2160.312    1
31-48-95-021155-001-01 32221           2    1
31-48-95-021155-001-01 4111  56.2159.812    1
31-48-95-021155-001-01 52221           1    1
84-59-93-681158-001-01 121             2    1
11-98-95-751158-001-02 2111  53.3  16112    1
11-98-95-751158-001-02 3221  41.2156.912    1
11-98-95-751158-001-02 4221  28.9135.812    1
11-98-95-751158-001-02 521             2    1
11-98-95-751158-001-02 621             2    1
11-98-95-751158-001-02 721             2    1
39-24-29-811159-001-01 1111  70.5  15112    1
25-97-26-141162-001-01 121             2    1
25-97-26-141162-001-01 21121           2    1
25-97-26-141162-001-01 31121           2    1
25-97-26-141162-001-01 42221           2    1
39-23-26-661171-001-01 121             2    1
39-23-26-661171-001-01 21121           2    1
39-23-26-661171-001-01 31121           2    1
33-16-62-691172-001-03 3111  64.2154.512    1
05-00-83-241173-001-01 1111  78.1  15212    1
05-00-83-241173-001-01 222             2    1
82-77-98-121174-001-01 121             2    1
53-94-37-891177-001-01 121             2    1
53-94-37-891177-001-01 221             2    1
53-94-37-891177-001-01 41121           2    1
53-94-37-891177-001-01 5221  20.7124.512    1
53-94-37-891177-001-01 6111  42.6144.512    1
53-94-37-891177-001-01 7221  13.7 95.61117.31
62-86-62-481177-001-03 1111  41.9149.512    1
62-86-62-481177-001-03 2221  10.7 82.52114.21
72-14-75-361179-001-01 121             2    1
72-14-75-361179-001-01 71121           2    1
72-14-75-361179-001-01 82221           1    1
72-14-75-361179-001-01 91121           2    1
34-57-74-201179-001-02 121             2    1
34-57-74-201179-001-02 2111  61.3166.512    1
34-57-74-201179-001-02 3221  22.7113.61117.31
34-57-74-201179-001-02 4221  13.8 87.31114.61
93-52-49-511179-001-06 121             2    1
63-91-22-931191-001-01 121             2    1
63-91-22-931191-001-01 2111  54.6160.412    1
63-91-22-931191-001-01 321             2    1
63-91-22-931191-001-01 421             2    1
63-91-22-931191-001-01 5221  26.5131.312    1
63-91-22-931191-001-01 6221  12.5 94.41114.61
63-91-22-931191-001-01 7221   9.8 74.411  151
60-74-37-271192-001-01 121             2    1
60-74-37-271192-001-01 21123           2    1
60-74-37-271192-001-01 31123           2    1
60-74-37-271192-001-01 42223           2    1
09-26-67-921193-001-01 121             2    1
09-26-67-921193-001-01 2111  82.7  16412    1
09-26-67-921193-001-01 31121           2    1
09-26-67-921193-001-01 421             2    1
09-26-67-921193-001-01 5221  49.7167.412    1
09-26-67-921193-001-01 6221  18.1115.511    1
94-86-36-141194-001-01 121             2    1
94-86-36-141194-001-01 2111  61.8  15112    1
94-86-36-141194-001-01 321             2    1
94-86-36-141194-001-01 5221    42146.712    1
94-86-36-141194-001-01 621             2    1
25-38-03-951194-001-04 121             2    1
25-38-03-951194-001-04 2111  49.1161.112    1
25-38-03-951194-001-04 3221  17.7104.51117.41
95-69-66-001195-001-01 1111    71170.412    1
95-69-66-001195-001-01 2111  72.2168.312    1
95-69-66-001195-001-01 31121           2    1
19-34-39-641196-001-01 121             2    1
19-34-39-641196-001-01 221             2    1
19-34-39-641196-001-01 3111  58.9  15812    1
19-34-39-641196-001-01 521             2    1
19-34-39-641196-001-01 621             2    1
19-34-39-641196-001-01 7221  46.1163.612    1
19-34-39-641196-001-01 8221  12.6   921114.71
19-34-39-641196-001-01 9221   7.3 73.221  131
68-30-00-361196-001-04 121             2    1
02-54-47-041198-001-01 121             2    1
02-54-47-041198-001-01 221             2    1
02-54-47-041198-001-01 31121           2    1
02-54-47-041198-001-01 4221  50.5146.112    1
02-54-47-041198-001-01 5221  21.7116.312    1
02-54-47-041198-001-01 6221  26.8131.212    1
58-10-14-501201-001-01 121             2    1
58-10-14-501201-001-01 2111  82.3162.212    1
58-10-14-501201-001-01 521             2    1
58-10-14-501201-001-01 7111  47.9154.212    1
58-10-14-501201-001-01 8221  23.2120.812    1
58-10-14-501201-001-01 921             2    1
12-73-25-801209-001-01 121             2    1
12-73-25-801209-001-01 2111  64.6159.212    1
12-73-25-801209-001-01 321             2    1
12-73-25-801209-001-01 5221  26.3119.112    1
12-73-25-801209-001-01 6221  13.5 95.811  151
12-73-25-801209-001-01 7111  63.6148.312    1
20-96-63-721210-001-01 121             2    1
20-96-63-721210-001-01 21121           2    1
20-96-63-721210-001-01 3111  56.4153.712    1
20-96-63-721210-001-01 4221  34.8148.612    1
20-96-63-721210-001-01 5221  23.3127.712    1
20-96-63-721210-001-01 611             2    1
20-96-63-721210-001-01 7221  15.4100.311    1
29-54-32-181212-001-01 1111  62.5158.412    1
29-54-32-181212-001-01 21121           2    1
29-54-32-181212-001-01 3221  23.6129.212    1
29-54-32-181212-001-01 42221           2    1
29-54-32-181212-001-01 51121           2    1
17-51-90-931213-001-01 121             2    1
17-51-90-931213-001-01 4111  46.3152.112    1
17-51-90-931213-001-01 521             2    1
17-51-90-931213-001-01 6111  88.6  15612    1
17-51-90-931213-001-01 7221   7.8 61.32114.91
37-86-94-041215-001-01 121             2    1
37-86-94-041215-001-01 21121           2    1
23-14-85-731217-001-01 121             2    1
23-14-85-731217-001-01 21121           2    1
23-14-85-731217-001-01 321             2    1
23-14-85-731217-001-01 4111  47.5163.312    1
41-93-84-741229-001-01 121             2    1
41-93-84-741229-001-01 2111  69.2150.312    1
41-93-84-741229-001-01 3221  24.4  11612    1
41-93-84-741229-001-01 411             2    1
41-93-84-741229-001-01 9221  16.9102.51116.31
41-93-84-741229-001-0110221  14.9 81.81117.31
41-93-84-741229-001-0111111  50.9157.312    1
40-87-17-221230-001-01 121             2    1
40-87-17-221230-001-01 221             2    1
40-87-17-221230-001-01 321             2    1
40-87-17-221230-001-01 421             2    1
85-07-13-311232-001-01 121             2    1
85-07-13-311232-001-01 2111  91.7163.412    1
85-07-13-311232-001-01 521             2    1
85-07-13-311232-001-01 6111  67.2152.412    1
85-07-13-311232-001-01 721             2    1
85-07-13-311232-001-01 8221  33.4144.512    1
85-07-13-311232-001-01 9221  23.7  12612    1
85-07-13-311232-001-011021             2    1
85-07-13-311232-001-0111111  52.5154.812    1
32-06-62-051232-001-03 121             2    1
75-03-14-991232-001-04 121             2    1
75-03-14-991232-001-04 2111  65.1145.512    1
75-03-14-991232-001-04 3221   4.9 57.82112.51
59-82-97-201233-001-01 121             2    1
59-82-97-201233-001-01 21124           2    1
59-82-97-201233-001-01 321             2    1
59-82-97-201233-001-01 41121           2    1
59-82-97-201233-001-01 521             2    1
59-82-97-201233-001-01 621             2    1
61-64-62-241235-001-02 2111    57  16112    1
61-64-62-241235-001-02 3221  36.5  15312    1
61-64-62-241235-001-02 5221  25.2129.612    1
61-64-62-241235-001-02 6221  17.7  11211  191
40-53-63-541236-001-01 121             2    1
40-53-63-541236-001-01 2111  91.9167.512    1
40-53-63-541236-001-01 3221    33130.712    1
40-53-63-541236-001-01 4221  24.7  11512    1
40-53-63-541236-001-01 6221  19.4118.712    1
40-53-63-541236-001-01 7221   5.9 59.52113.51
32-46-17-361236-001-04 121             2    1
32-46-17-361236-001-04 221             2    1
34-83-68-871239-001-01 1111  90.5  16112    1
34-83-68-871239-001-01 3221  35.7142.612    1
34-83-68-871239-001-01 5111    83160.112    1
44-29-24-031239-001-02 1111  55.2152.812    1
44-29-24-031239-001-02 2221  21.6121.412    1
44-29-24-031239-001-02 3221   7.4 68.42114.71
95-72-84-201247-001-01 121             2    1
95-72-84-201247-001-01 2111  55.5146.512    1
95-72-84-201247-001-01 321             2    1
95-72-84-201247-001-01 4221  25.1125.212    1
95-72-84-201247-001-01 5221    13   891116.11
95-72-84-201247-001-01 6221  27.6144.612    1
42-14-42-961248-001-01 121             2    1
42-14-42-961248-001-01 221             2    1
42-14-42-961248-001-01 3111  59.6157.412    1
23-68-93-721249-001-01 121             2    1
