93-03-21-311006-001-04 312 22   2  2    2   2  2   2   
93-03-21-311006-001-04 42                              
64-95-83-641006-001-05 111  2   2  2    1  22  2   2   
64-95-83-641006-001-05 211  2   2  2    2   2  2   2   
64-95-83-641006-001-05 32                              
54-26-09-511007-001-01 111  2   2  2    2   2  2   2   
54-26-09-511007-001-01 211  2   2  2    2   2  1  11  4
54-26-09-511007-001-01 312 22   2  2    2   2  2   2   
54-26-09-511007-001-01 42                              
54-26-09-511007-001-01 52                              
91-42-46-841009-001-01 111  2   2  2    2   2  1  62   
91-42-46-841009-001-01 211  2   2  2    2   2  1  42   
91-42-46-841009-001-01 312 22   2  2    2   2  1  12   
91-42-46-841009-001-01 412 22   2  2    2   2  2   2   
34-08-29-971019-001-01 111  2   2  2    2   2  1  52   
34-08-29-971019-001-01 211  2   2  2    2   2  1  12   
34-08-29-971019-001-01 32                              
25-94-08-501020-001-01 111  2   2  1   22   2  1 112   
25-94-08-501020-001-01 212 12   2  1  282   2  1 112   
25-94-08-501020-001-01 312 12   2  2    2   2  2   2   
42-43-09-211021-001-01 111  2   2  2    2   2  2   2   
88-63-59-871022-001-01 112 22   2  1   11 122  2   2   
88-63-59-871022-001-01 211  2   2  2    2   2  1  12   
88-63-59-871022-001-01 311  2   2  1   02   2  1  12   
88-63-59-871022-001-01 412 22   2  2    2   2  1  12   
88-63-59-871022-001-01 52                              
88-63-59-871022-001-01 62                              
67-34-56-151023-001-01 111  2   2  2    2   2  2   2   
67-34-56-151023-001-01 211  2   2  1   12   2  12102   
67-34-56-151023-001-01 312 22   2  2    2   2  2   2   
67-34-56-151023-001-01 42                              
61-09-84-511024-001-01 111  2   2  2    2   2  1  12   
61-09-84-511024-001-01 211  2   2  2    2   2  1  22   
61-09-84-511024-001-01 32                              
49-38-79-421025-001-02 211  2   2  2    2   2  1  12   
36-53-30-051038-001-02 211  2   2  2    1  12  1  12   
36-53-30-051038-001-02 312 22   2  2    2   2  1  22   
36-53-30-051038-001-02 412 22   2  2    2   2  2   2   
36-53-30-051038-001-02 512 22   2  2    2   2  2   2   
06-31-99-331039-001-01 111  2   2  2    2   2  2   2   
06-31-99-331039-001-01 211  2   2  2    2   2  2   2   
06-31-99-331039-001-01 312 12   2  1   12   2  2   2   
06-31-99-331039-001-01 412 12   2  2    2   2  2   2   
06-31-99-331039-001-01 512 12   2  2    2   2  1  12   
98-68-74-001041-001-01 111  2   2  2    2   2  2   2   
86-53-32-921042-001-01 111  2   2  2    2   2  2   2   
86-53-32-921042-001-01 311  2   2  1   12   2  1  42   
86-53-32-921042-001-01 42                              
59-59-99-491042-001-02 111  2   2  2    2   2  1  12   
68-38-43-941043-001-01 111  2   2  2    2   2  2   2   
68-38-43-941043-001-01 211  2   2  2    2   2  1  32   
68-38-43-941043-001-01 312 22   2  2    2   2  2   2   
68-38-43-941043-001-01 412 22   2  2    2   2  1  22   
68-38-43-941043-001-01 512 22   2  2    2   2  2   2   
68-38-43-941043-001-01 612 22   2  2    2   2  2   2   
