21-58-01-131290-001-0121112241211122221 5         0       0       0   2          3  2
10-52-94-981291-001-0112122231111112225 5 6       0       0       0   1 8    2010   2
65-52-72-291294-001-0122212212221222224 5         0       0       0   119    2017   2
37-29-66-641304-001-0122121141211222224 8         0       0       0   2          1  1
28-24-87-551305-001-0112222221211122221 1 2       0       0       0   116    2000   1
66-65-33-221306-001-0122212222211222223 5         0       0       0   2          1  2
56-76-03-181307-001-0112212221221222224 4 6       0       0       0   119    2018   2
96-10-67-721309-001-0112212241211222221 5         0       0       0   2          1  2
88-26-77-431312-001-0122212271221222224 5 8       0       0 1600000   2          1  1
65-62-10-781323-001-0112222272211212223 5 6       0       0       0   117    2009   2
20-66-75-401323-001-0412222121222221221 6         0       0       0   2          1  2
91-01-26-481323-001-0522212222211222223 6         0       0  400000   116    2016   1
00-63-85-411325-001-0112112222221122225 6         0       0       0   1 810  2011   2
17-62-39-801325-001-0512212242212222223 5 6       0       0       0   2          1  2
19-45-49-881328-001-0112112241111222224 5         0       0       0   125    2017   2
99-92-94-711329-001-0112112271211122223 5 6       0       0       0   1 816  2015   2
96-56-62-651331-001-0112112221211222224 6         0       0       0   1 8 9162000   2
02-10-68-031332-001-0112112272211122223 5 6       0       0       0   2          1  2
14-23-99-911333-001-0112212272221222224 6    840000       0       0   1 8    2016   2
45-37-73-991342-001-0112212272 2      1 5         0       0       0   2          1  2
02-97-68-801344-001-0122212122211222223 6         0       0       0   1 8    2017   2
07-49-23-291345-001-0122112231211212224 5 6       0       0  150000   1 8    2019   2
38-64-41-111346-001-011  1  31 11     1 5         0       0       0   116    2019   2
82-06-86-021347-001-0112211221111111223 5 6       0       0       0   1 816182017   2
85-21-92-451348-001-0112112111211121223 5 6       0       040000000   1 816  2016   2
15-83-65-111350-001-0112112221211122225 6    720000       0       0   116    2019   2
43-88-08-411350-001-0422122222211222224 6         0       0       0   2          7  2
03-09-89-611361-001-0122112221212222221 6         0       0       0   119    2003   2
36-80-76-691364-001-0122122272222212226 6         0       0       0   2          1  2
78-35-11-011364-001-0422212272221222224 5         0       0       0   2          1  1
81-56-93-071366-001-0122122241221212224 8         0       0       0   117    1986   1
97-65-62-821368-001-0112222221111122221 6         0       0       0   1 8    2008   2
47-89-11-601380-001-0212112271211212226 5    900000       0       0   2          1  2
20-43-28-291383-001-0122112271211222221 5 6       0       0       0   2          1  2
39-87-55-401384-001-0112112242211212226 6 8       0       0       0   2          1  1
76-57-93-241385-001-0112212221211211223 5         0       0       0   1 8    2017   2
20-23-88-721386-001-0122122271211221221 5 8       0       0       0   110    2018   1
49-17-74-081387-001-0212222222211212226 5    700000       0 1200000   116    2006   2
73-59-11-961399-001-0122112271111122221 6         0       0       0   2          1  2
49-77-42-641399-001-0422122271222122221 5         0       0       0   2          1  2
35-22-61-351401-001-0122212221211122223 4 6       0       0       0   116    2019   2
37-56-57-811402-001-0122112241221222221 5 6       0       0       0   1 8    2008   2
39-91-71-061403-001-0122112271211222221 1 5       0       0       0   2          1  2
