84-59-93-681158-001-01 80
84-59-93-681158-001-01 90
84-59-93-681158-001-01100
11-98-95-751158-001-02 17
11-98-95-751158-001-02 23
11-98-95-751158-001-02 33
11-98-95-751158-001-02 47
11-98-95-751158-001-02 53
11-98-95-751158-001-02 66
11-98-95-751158-001-02 70
11-98-95-751158-001-02 87
11-98-95-751158-001-02 97
11-98-95-751158-001-02107
39-24-29-811159-001-01 15
39-24-29-811159-001-01 22
39-24-29-811159-001-01 34
39-24-29-811159-001-01 43
39-24-29-811159-001-01 52
39-24-29-811159-001-01 63
39-24-29-811159-001-01 70
39-24-29-811159-001-01 87
39-24-29-811159-001-01 97
39-24-29-811159-001-01107
25-97-26-141162-001-01 17
25-97-26-141162-001-01 22
25-97-26-141162-001-01 33
25-97-26-141162-001-01 43
25-97-26-141162-001-01 53
25-97-26-141162-001-01 67
25-97-26-141162-001-01 70
25-97-26-141162-001-01 87
25-97-26-141162-001-01 97
25-97-26-141162-001-01107
39-23-26-661171-001-01 10
39-23-26-661171-001-01 20
39-23-26-661171-001-01 30
39-23-26-661171-001-01 40
39-23-26-661171-001-01 50
39-23-26-661171-001-01 60
39-23-26-661171-001-01 70
39-23-26-661171-001-01 80
39-23-26-661171-001-01 90
39-23-26-661171-001-01100
33-16-62-691172-001-03 10
33-16-62-691172-001-03 23
33-16-62-691172-001-03 30
33-16-62-691172-001-03 40
33-16-62-691172-001-03 52
33-16-62-691172-001-03 67
33-16-62-691172-001-03 70
33-16-62-691172-001-03 83
33-16-62-691172-001-03 95
33-16-62-691172-001-03104
05-00-83-241173-001-01 17
05-00-83-241173-001-01 24
05-00-83-241173-001-01 34
05-00-83-241173-001-01 47
05-00-83-241173-001-01 54
05-00-83-241173-001-01 63
05-00-83-241173-001-01 70
05-00-83-241173-001-01 85
05-00-83-241173-001-01 97
05-00-83-241173-001-01107
82-77-98-121174-001-01 10
82-77-98-121174-001-01 20
82-77-98-121174-001-01 30
82-77-98-121174-001-01 40
82-77-98-121174-001-01 50
82-77-98-121174-001-01 60
82-77-98-121174-001-01 70
82-77-98-121174-001-01 80
82-77-98-121174-001-01 90
82-77-98-121174-001-01100
53-94-37-891177-001-01 17
53-94-37-891177-001-01 23
53-94-37-891177-001-01 33
53-94-37-891177-001-01 47
53-94-37-891177-001-01 51
53-94-37-891177-001-01 67
53-94-37-891177-001-01 74
53-94-37-891177-001-01 87
53-94-37-891177-001-01 97
53-94-37-891177-001-01107
62-86-62-481177-001-03 17
62-86-62-481177-001-03 20
62-86-62-481177-001-03 31
62-86-62-481177-001-03 45
62-86-62-481177-001-03 51
62-86-62-481177-001-03 61
62-86-62-481177-001-03 70
62-86-62-481177-001-03 87
62-86-62-481177-001-03 97
62-86-62-481177-001-03107
72-14-75-361179-001-01 17
72-14-75-361179-001-01 24
72-14-75-361179-001-01 33
72-14-75-361179-001-01 47
72-14-75-361179-001-01 52
72-14-75-361179-001-01 65
72-14-75-361179-001-01 73
72-14-75-361179-001-01 87
72-14-75-361179-001-01 97
72-14-75-361179-001-01107
34-57-74-201179-001-02 17
34-57-74-201179-001-02 23
34-57-74-201179-001-02 33
34-57-74-201179-001-02 47
34-57-74-201179-001-02 56
34-57-74-201179-001-02 63
34-57-74-201179-001-02 77
34-57-74-201179-001-02 87
34-57-74-201179-001-02 97
34-57-74-201179-001-02107
93-52-49-511179-001-06 10
93-52-49-511179-001-06 20
93-52-49-511179-001-06 30
93-52-49-511179-001-06 40
93-52-49-511179-001-06 50
93-52-49-511179-001-06 60
93-52-49-511179-001-06 70
93-52-49-511179-001-06 80
93-52-49-511179-001-06 90
93-52-49-511179-001-06100
63-91-22-931191-001-01 17
63-91-22-931191-001-01 20
63-91-22-931191-001-01 32
63-91-22-931191-001-01 47
63-91-22-931191-001-01 50
63-91-22-931191-001-01 66
63-91-22-931191-001-01 70
63-91-22-931191-001-01 87
63-91-22-931191-001-01 97
63-91-22-931191-001-01104
60-74-37-271192-001-01 17
60-74-37-271192-001-01 20
60-74-37-271192-001-01 34
60-74-37-271192-001-01 47
60-74-37-271192-001-01 55
60-74-37-271192-001-01 63
60-74-37-271192-001-01 71
60-74-37-271192-001-01 87
60-74-37-271192-001-01 97
60-74-37-271192-001-01107
09-26-67-921193-001-01 17
09-26-67-921193-001-01 20
09-26-67-921193-001-01 32
09-26-67-921193-001-01 47
09-26-67-921193-001-01 50
09-26-67-921193-001-01 64
09-26-67-921193-001-01 70
09-26-67-921193-001-01 87
09-26-67-921193-001-01 90
09-26-67-921193-001-01107
94-86-36-141194-001-01 17
94-86-36-141194-001-01 25
94-86-36-141194-001-01 35
94-86-36-141194-001-01 47
94-86-36-141194-001-01 50
94-86-36-141194-001-01 66
94-86-36-141194-001-01 70
94-86-36-141194-001-01 87
94-86-36-141194-001-01 97
94-86-36-141194-001-01107
25-38-03-951194-001-04 17
25-38-03-951194-001-04 20
25-38-03-951194-001-04 31
25-38-03-951194-001-04 47
25-38-03-951194-001-04 51
25-38-03-951194-001-04 61
25-38-03-951194-001-04 70
25-38-03-951194-001-04 87
25-38-03-951194-001-04 97
25-38-03-951194-001-04107
95-69-66-001195-001-01 17
95-69-66-001195-001-01 22
95-69-66-001195-001-01 34
95-69-66-001195-001-01 46
95-69-66-001195-001-01 52
95-69-66-001195-001-01 64
95-69-66-001195-001-01 70
95-69-66-001195-001-01 83
95-69-66-001195-001-01 97
95-69-66-001195-001-01107
19-34-39-641196-001-01 17
19-34-39-641196-001-01 23
19-34-39-641196-001-01 34
19-34-39-641196-001-01 47
19-34-39-641196-001-01 52
19-34-39-641196-001-01 62
19-34-39-641196-001-01 73
19-34-39-641196-001-01 87
19-34-39-641196-001-01 97
19-34-39-641196-001-01107
68-30-00-361196-001-04 17
68-30-00-361196-001-04 20
68-30-00-361196-001-04 30
68-30-00-361196-001-04 40
68-30-00-361196-001-04 50
68-30-00-361196-001-04 60
68-30-00-361196-001-04 70
68-30-00-361196-001-04 80
68-30-00-361196-001-04 97
68-30-00-361196-001-04107
02-54-47-041198-001-01 17
02-54-47-041198-001-01 24
02-54-47-041198-001-01 36
02-54-47-041198-001-01 47
02-54-47-041198-001-01 50
02-54-47-041198-001-01 60
02-54-47-041198-001-01 70
02-54-47-041198-001-01 87
02-54-47-041198-001-01 97
