09-09-71-4671da491d04b1463f9ceb2f507d06c95b2021-10-12T10:44:48 4 45 131  1        3**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-10-12T11:00:10111143334
09-18-23-46c0fe40a20d5b4b8e9805ac27c298d2322021-05-19T09:39:15 1 15 362  1        6**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-19T07:08:39111131144
09-74-42-02fc3cef654e724c1db32acc3c4835be792021-03-30T12:30:2519193 112  2        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-30T10:34:38111133334
09-98-78-453a6d3e7985e74f4c9c54205cf0d7f0b32021-02-22T12:58:04 7 71 192  1        6**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-02-22T10:01:36111443334
10-00-56-46effc522e23ae4a4db5e3fe6168d59c752021-11-26T10:41:2418181  63  2      306**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-26T09:03:27211144414
10-15-01-02230bbd21e5b34515986c4712d05ca38c2021-05-20T09:18:23 7 73  72  1       33**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-20T07:07:02114144434
10-61-60-35fa98de2ff33844f0addbe2bb58f414802021-08-08T12:59:0324244 241  2        6**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-08-08T12:27:15111141114
11-26-46-5220c9a373da7c4e32989e614f0db9e7e82021-05-18T08:48:1753532 342  3        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-18T05:48:30444114414
11-28-44-980990139eeaa64c7da10c16d8cd89826c2021-10-08T14:38:2219196  22 11        7**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-10-08T12:42:34111411114
11-62-61-278e9b2ad8a66f47669ede1506088e9fcd2021-07-11T14:45:3621212 231  2        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-12T06:45:58111143334
