71-14-80-871059-001-01 7   0        2  2                
71-14-80-871059-001-01 8   0        2  2                
71-14-80-871059-001-01 9   0        2  2                
71-14-80-871059-001-0110   0        2  2                
71-14-80-871059-001-0111   0        2  2                
71-14-80-871059-001-0112   2 100000011 2                
71-14-80-871059-001-0113   0        2  2                
71-14-80-871059-001-0114   0        2  2                
71-14-80-871059-001-0115   0        2  2                
79-06-68-491059-001-03 1   2   1000011 2                
79-06-68-491059-001-03 2   0        2  2                
79-06-68-491059-001-03 3   0        2  1     1 11      0
79-06-68-491059-001-03 4   0        2  2                
79-06-68-491059-001-03 5   0        2  2                
79-06-68-491059-001-03 6   0        2  2                
79-06-68-491059-001-03 7   0        2  2                
79-06-68-491059-001-03 8   0        2  2                
79-06-68-491059-001-03 9   0        2  2                
79-06-68-491059-001-0310   0        2  2                
79-06-68-491059-001-0311   0        2  2                
79-06-68-491059-001-0312   0        2  2                
79-06-68-491059-001-0313   0        2  2                
79-06-68-491059-001-0314   0        2  2                
79-06-68-491059-001-0315   0        2  2                
71-40-42-061059-001-06 1   5   3500011 2                
71-40-42-061059-001-06 2   0        2  2                
71-40-42-061059-001-06 3   1  16000011 2                
71-40-42-061059-001-06 4   0        2  2                
71-40-42-061059-001-06 5   0        2  2                
71-40-42-061059-001-06 6   0        2  2                
71-40-42-061059-001-06 7   0        2  2                
71-40-42-061059-001-06 8   0        2  2                
71-40-42-061059-001-06 9   0        2  2                
71-40-42-061059-001-0610   0        2  2                
71-40-42-061059-001-0611   0        2  2                
71-40-42-061059-001-0612   0        2  2                
71-40-42-061059-001-0613   0        2  2                
71-40-42-061059-001-0614   0        2  2                
71-40-42-061059-001-0615   0        2  2                
27-54-41-371060-001-01 1   3   1800011 2                
27-54-41-371060-001-01 2   0        2  2                
27-54-41-371060-001-01 3   0        2  2                
27-54-41-371060-001-01 4   0        2  2                
27-54-41-371060-001-01 5   1  80000011 2                
27-54-41-371060-001-01 6   0        2  2                
27-54-41-371060-001-01 7   0        2  2                
27-54-41-371060-001-01 8   0        2  2                
27-54-41-371060-001-01 9   0        2  2                
27-54-41-371060-001-0110   0        2  2                
27-54-41-371060-001-0111   0        2  2                
27-54-41-371060-001-0112   0        2  2                
27-54-41-371060-001-0113   0        2  2                
27-54-41-371060-001-0114   0        2  2                
27-54-41-371060-001-0115   0        2  2                
50-50-37-471061-001-03 1   4   2400011 2                
50-50-37-471061-001-03 2   0        2  2                
50-50-37-471061-001-03 3   1  12000011 2                
50-50-37-471061-001-03 4   0        2  2                
50-50-37-471061-001-03 5   1  70000011 2                
50-50-37-471061-001-03 6   0        2  1     1 91 315000
50-50-37-471061-001-03 7   0        2  1     1 91      0
50-50-37-471061-001-03 8   0        2  2                
50-50-37-471061-001-03 9   0        2  2                
50-50-37-471061-001-0310   0        2  2                
50-50-37-471061-001-0311   0        2  2                
50-50-37-471061-001-0312   0        2  2                
50-50-37-471061-001-0313   0        2  2                
50-50-37-471061-001-0314   0        2  2                
50-50-37-471061-001-0315   0        2  2                
25-09-89-031062-001-01 1   3    600011 2                
25-09-89-031062-001-01 2   0        2  2                
25-09-89-031062-001-01 3   1   4000011 2                
25-09-89-031062-001-01 4   0        2  2                
25-09-89-031062-001-01 5   1  15000011 2                
25-09-89-031062-001-01 6   0        2  2                
25-09-89-031062-001-01 7   0        2  2                
25-09-89-031062-001-01 8   0        2  2                
25-09-89-031062-001-01 9   0        2  2                
25-09-89-031062-001-0110   0        2  2                
25-09-89-031062-001-0111   0        2  2                
25-09-89-031062-001-0112   0        2  2                
25-09-89-031062-001-0113   4   100002  2                
25-09-89-031062-001-0114   0        2  2                
25-09-89-031062-001-0115   0        2  2                
21-11-75-861063-001-01 1   6   1800011 2                
21-11-75-861063-001-01 2   0        2  2                
21-11-75-861063-001-01 3   1  11000011 2                
21-11-75-861063-001-01 4   0        2  2                
21-11-75-861063-001-01 5   1  90000011 2                
21-11-75-861063-001-01 6   0        2  2                
21-11-75-861063-001-01 7   0        2  2                
21-11-75-861063-001-01 8   0        2  2                
21-11-75-861063-001-01 9   0        2  2                
21-11-75-861063-001-0110   0        2  2                
21-11-75-861063-001-0111   0        2  2                
21-11-75-861063-001-0112   1   6500011 2                
21-11-75-861063-001-0113   5  12000011 2                
21-11-75-861063-001-0114   0        2  2                
63-59-38-211064-001-01 1   1    500011 2                
63-59-38-211064-001-01 2   0        2  2                
63-59-38-211064-001-01 3   0        2  2                
63-59-38-211064-001-01 4   0        2  2                
63-59-38-211064-001-01 5   0        2  2                
63-59-38-211064-001-01 6   0        2  2                
63-59-38-211064-001-01 7   0        2  2                
63-59-38-211064-001-01 8   0        2  2                
63-59-38-211064-001-01 9   0        2  2                
63-59-38-211064-001-0110   0        2  2                
63-59-38-211064-001-0111   0        2  2                
63-59-38-211064-001-0112   0        2  2                
63-59-38-211064-001-0113   0        2  2                
63-59-38-211064-001-0114   0        2  2                
63-59-38-211064-001-0115   0        2  2                
51-70-28-891076-001-01 1   1    500011 1     1 21      0
51-70-28-891076-001-01 2   0        2  2                
51-70-28-891076-001-01 3   0        2  2                
51-70-28-891076-001-01 4   0        2  2                
51-70-28-891076-001-01 5   0        2  2                
51-70-28-891076-001-01 6   0        2  2                
51-70-28-891076-001-01 7   0        2  2                
51-70-28-891076-001-01 8   0        2  2                
51-70-28-891076-001-01 9   0        2  2                
51-70-28-891076-001-0110   0        2  2                
51-70-28-891076-001-0111   0        2  2                
51-70-28-891076-001-0112   0        2  2                
51-70-28-891076-001-0113   0        2  2                
51-70-28-891076-001-0114   0        2  2                
51-70-28-891076-001-0115   0        2  2                
45-88-08-271077-001-01 1   2   1600011 2                
45-88-08-271077-001-01 2   1   5000011 2                
45-88-08-271077-001-01 3   0        2  1     1 21  40000
45-88-08-271077-001-01 4   0        2  2                
45-88-08-271077-001-01 5   0        2  2                
