00-25-04-46918880d8725c48aabce7739fa26ff40533                        
00-25-04-46918880d8725c48aabce7739fa26ff40534                        
00-25-04-46918880d8725c48aabce7739fa26ff40535                        
00-25-04-46918880d8725c48aabce7739fa26ff40536                        
00-25-04-46918880d8725c48aabce7739fa26ff40537                        
00-25-04-46918880d8725c48aabce7739fa26ff40538                        
00-25-04-46918880d8725c48aabce7739fa26ff405392  863  6000            
00-25-04-46918880d8725c48aabce7739fa26ff40540                        
00-25-04-46918880d8725c48aabce7739fa26ff40541                        
00-25-04-46918880d8725c48aabce7739fa26ff40542                        
00-25-04-46918880d8725c48aabce7739fa26ff405432  500   400            
00-25-04-46918880d8725c48aabce7739fa26ff405442   50   600            
00-25-04-46918880d8725c48aabce7739fa26ff40545                        
00-25-04-46918880d8725c48aabce7739fa26ff40546                        
00-25-04-46918880d8725c48aabce7739fa26ff40547                        
00-25-04-46918880d8725c48aabce7739fa26ff405482   18  1500            
00-25-04-46918880d8725c48aabce7739fa26ff40549                        
00-25-04-46918880d8725c48aabce7739fa26ff405502    9   100            
00-25-04-46918880d8725c48aabce7739fa26ff40551                        
00-25-04-46918880d8725c48aabce7739fa26ff40552                        
01-06-47-850f7224925e994408b2a2c95070eb1be6 1                        
01-06-47-850f7224925e994408b2a2c95070eb1be6 21    1  1500            
01-06-47-850f7224925e994408b2a2c95070eb1be6 32  760   500            
01-06-47-850f7224925e994408b2a2c95070eb1be6 41    1  1200            
01-06-47-850f7224925e994408b2a2c95070eb1be6 51    1  1000            
01-06-47-850f7224925e994408b2a2c95070eb1be6 61    1  2000            
01-06-47-850f7224925e994408b2a2c95070eb1be6 71    1 16000            
01-06-47-850f7224925e994408b2a2c95070eb1be6 8                        
01-06-47-850f7224925e994408b2a2c95070eb1be6 9                        
01-06-47-850f7224925e994408b2a2c95070eb1be6102  500  1000            
01-06-47-850f7224925e994408b2a2c95070eb1be6112   35   100            
01-06-47-850f7224925e994408b2a2c95070eb1be6122 1774  1000            
01-06-47-850f7224925e994408b2a2c95070eb1be6131    1  1600            
01-06-47-850f7224925e994408b2a2c95070eb1be614                        
01-06-47-850f7224925e994408b2a2c95070eb1be6152 1695  1000            
01-06-47-850f7224925e994408b2a2c95070eb1be6162  806  1000            
01-06-47-850f7224925e994408b2a2c95070eb1be617                        
01-06-47-850f7224925e994408b2a2c95070eb1be6182 1780  2000            
01-06-47-850f7224925e994408b2a2c95070eb1be6192 1166  1000            
01-06-47-850f7224925e994408b2a2c95070eb1be6201    1  2800            
01-06-47-850f7224925e994408b2a2c95070eb1be6211    1  2800            
01-06-47-850f7224925e994408b2a2c95070eb1be6221    1  2200            
01-06-47-850f7224925e994408b2a2c95070eb1be6231    1  2600            
01-06-47-850f7224925e994408b2a2c95070eb1be6242  550   500            
01-06-47-850f7224925e994408b2a2c95070eb1be6252  245   500            
01-06-47-850f7224925e994408b2a2c95070eb1be6262  365   500            
01-06-47-850f7224925e994408b2a2c95070eb1be6272  220   500            
01-06-47-850f7224925e994408b2a2c95070eb1be6282  747   500            
01-06-47-850f7224925e994408b2a2c95070eb1be6292 3944  2000            
01-06-47-850f7224925e994408b2a2c95070eb1be6302  132  1000            
01-06-47-850f7224925e994408b2a2c95070eb1be6312  269   100            
01-06-47-850f7224925e994408b2a2c95070eb1be6322 2020  2000            
01-06-47-850f7224925e994408b2a2c95070eb1be6332  517   500            
01-06-47-850f7224925e994408b2a2c95070eb1be6341    1 10000            
01-06-47-850f7224925e994408b2a2c95070eb1be6351    1  7000            
01-06-47-850f7224925e994408b2a2c95070eb1be6362 1698 20000            
01-06-47-850f7224925e994408b2a2c95070eb1be6375    1   350            
01-06-47-850f7224925e994408b2a2c95070eb1be6381    1 12000            
01-06-47-850f7224925e994408b2a2c95070eb1be6391    1  7000            
