31-67-12-821152-001-01 211   1200  210000 1   1   91 912       2             20  0  0  10   0
82-49-19-232159-001-01 541    400  462000 1   1   93 932       2             20  0  0   0   0
40-34-16-232159-001-04 541    120  150000 1 2 1 2 92 922       2              0  0  0   0   0
92-29-28-062162-001-01 541    120   72000 2   2   92 922       2              0  0  0   0   0
45-96-39-562164-001-01 212                             2       2             30  0  0   0   0
45-96-39-562164-001-01 541      3    2000 1   1   91 912       2              0  0  0   0   0
08-19-86-572179-001-01 541    140  420000 1   1   61 612       2              0  0  0   0   0
14-48-48-942180-001-01 542                             2       2              0  0  0   0   0
82-21-30-392181-001-01 212                             2       2             60  0  0   0   0
82-21-30-392181-001-01 541    157  474140 1   1   71 712       2              0  0  0   0   0
97-20-56-672184-001-01 212                             2       2             60  0  0   0   0
01-60-89-942185-001-01 541    167  500000 1   1   61 612       2              0  0  0   0   0
50-12-34-352197-001-01 212                             2       2            240  0  0   0   0
56-62-89-782199-001-01 211    72018000000 2   2   92 922       2            120  0  0   0   0
97-95-25-482200-001-01 211    600  200000 1 2 1 21611612       2            300  0  0   0   0
99-10-27-022200-001-03 211    210   90000 1 2 1 2 91 912       111  20000   100  0  0  40   0
89-10-69-312202-001-01 211    400  140000 1 2 1 2 91 912       121  30000   160  0  0  80   0
72-15-83-722203-001-01 212                             2       2            120  0  0   0   0
56-10-08-702204-001-01 212                             2       2            200  0  0   0   0
78-15-43-852216-001-01 541     30   36000 1   1   62 622       2              0  0  0   0   0
81-50-48-562217-001-02 541     50   55000 1 2 1 2 91 912       2              5  0  0   0   0
84-58-41-512218-001-01 541    520  705000 1   1   61 612       2              0  0  0   0   0
84-58-41-512218-001-019982                             2       2             60  0  0   0   0
05-40-62-632221-001-01 541     20   20000 1 2 1 21611612       2              0  0  0   0   0
24-15-17-332222-001-01 541    335  335000 1 2 1 2 93 932       2              0  0  0   0   0
21-66-19-792235-001-01 541     24   24000 2   2   71 712       2              0  0  0   0   0
04-72-30-292236-001-01 541     40   40000 1   1   61 612       2              0  0  0   0   0
04-72-30-292236-001-01 602                             2       2            100  0  0  20   0
00-11-58-552236-001-02 542                             2       2              5  0  0   0   0
70-46-23-362237-001-01 212                             2       133   4500    20  0  0   0   0
70-46-23-362237-001-01 542                             2       2             20  0  0   0   0
70-46-23-362237-001-013042                             2       2              2  0  0   0   0
33-40-18-382238-001-01 541    230   50000 1   1   93 932       2             20  0  0   0   0
00-38-57-232239-001-01 541    100  100000 1   1   62 612       2              0  0  0   0   0
00-38-57-232239-001-019982                             2       2             30  0  0   0   0
53-95-94-122254-001-01 212                             2       2             20  0  0   5   0
53-95-94-122254-001-01 541    450  450000 1   1  1641642       2              0  0  0   0   0
74-70-00-932255-001-01 212                             2       2            150  0  0   0   0
74-70-00-932255-001-01 541     60   12000 1   1   23 212       2              0  0  0   0   0
74-70-00-932255-001-01 602                             2       2            100  0  0   0   0
93-31-89-762256-001-01 541    550  300000 1 2 1 2 61 612       2              0  0  0   0   0
93-31-89-762256-001-013042                             1 12012 2            120  0  0   0   0
79-86-31-642256-001-03 212                             2       2             50  0  0 100   0
30-93-95-652257-001-01 212                             2       2            100  0  0  25   0
30-93-95-652257-001-01 541    560  560000 1   1  1631632       2              0  0  0   0   0
61-97-17-872277-001-01 211    500  120000 1   1   41 212       2             30  0200 270   0
19-61-62-902277-001-03 212                             2       2             80  0  0  80   0
41-81-85-622280-001-01 212                             2       2            100  0  0 100   0
14-58-18-612292-001-02 212                             2       2             30  0  0  20   0
29-32-41-812293-001-01 212                             2       2            110  0  0  50   0
79-64-91-552294-001-01 212                             2       2            880  0  0 240   0
79-64-91-552294-001-01 452                             2       2             42  0  0   0   0
79-64-91-552294-001-01 642                             2       2              1  0  0   3   0
83-01-75-412295-001-01 212                             2       2             40  0  0  10   0
80-85-79-462296-001-01 212                             2       2            120  0  0  40   0
90-57-92-072298-001-01 212                             2       2           1000  0  0 500   0
96-15-71-562311-001-01 452                             1 10012 2            200  0 90 100   0
89-81-17-292311-001-04 212                             2       2            160  0  0 240   0
75-37-54-952313-001-01 212                             2       2            480  0  0   0   0
85-96-93-022316-001-01 212                             2       142  20000   480  0  0 400   0
45-27-67-932318-001-01 212                             2       2            200  0  0  40   0
87-83-98-062349-001-01 212                             2       2             50  0 50 100   0
43-46-75-792349-001-03 212                             2       2             50 20  0  30   0
68-30-71-792350-001-03 212                             2       2            300  0  0 200   0
14-98-81-492352-001-02 212                             2       2             60  0  0   0   0
12-97-36-292352-001-04 212                             2       2            110  0  0  50   0
81-32-40-342352-001-07 211    100   86000 1   1   21 112       2             40  0 30  30   0
87-03-73-532353-001-01 212                             2       2            350  0  0 200   0
18-73-48-012353-001-04 212                             2       2            640  0  0 160   0
00-22-08-832354-001-01 212                             2       2             80  0  0  80   0
19-93-05-372354-001-04 212                             2       2             80  0  0  40   0
48-82-44-022355-001-01 212                             2       2            845  0  0 400   0
66-57-22-712356-001-01 211    300  100000 1   1   21 212       2             50  0  0  50   0
66-57-22-712356-001-01 451    150  120000 1   1   21 212       2             50  0  0   0   0
54-52-86-502371-001-01 211    125   75000 1   1   42 422       2             50  0  0  25   0
54-52-86-502371-001-01 342                             2       2              8  0  0   4   0
54-52-86-502371-001-01 452                             2       2            500  0  0 250   0
19-42-65-672372-001-01 212                             2       2             90  0  0 120   0
77-70-58-352389-001-02 212                             2       2             25  0  0  12   0
95-47-09-332394-001-01 212                             2       2            200  0  0 150   0
95-47-09-332394-001-01 342                             2       2             55  0  0  25   0
17-25-01-082431-001-01 212                             2       2            140  0  0 180   0
81-05-05-172432-001-01 211    150  120000 1   1   41 452       2             50  0  0   0   0
82-12-05-752435-001-01 211    100   50000 1   1   95 312       2             20  0  0  30   0
47-13-32-572464-001-03 441   1000  30000013  13   41 412       2           1000  0  0   0   0
89-90-41-692469-001-01 561    400 1600000 1 2 1 2 62 622       2              0  0  0   0   0
89-90-41-692469-001-01 602                             2       2             20  0  0   0   0
84-22-10-902483-001-01 212                             2       2            200  0  0  50   0
60-01-61-292520-001-01 212                             2       2            600  0  0   0   0
05-19-50-612522-001-01 212                             2       2             53  0  0   0   0
05-19-50-612522-001-01 441    144  160000 1   1   93 932       2              0  0  0   0   0
27-48-96-982523-001-02 212                             2       2             40  0  0   0   0
07-14-14-702526-001-01 212                             1  6022 2            600  0  0  60   0
08-10-16-122544-001-013032                             2       2           1000  0  0   0   0
80-87-24-092558-001-01 212                             2       2            300  0  0   0   0
38-66-19-412560-001-01 211    420  385000 2   2   91 912       2           1560  0  0   0   0
38-66-19-412560-001-01 341     40   34000 2   2   41 412       2            920 20  0   0   0
38-66-19-412560-001-01 442                             2       2           4725  0  0   0   0
