36-33-35-191858-001-09 2ALIZETI          411 3 41                           252   901   102    40 12 1 2   40000 21 211  4000
70-07-82-731859-001-01 1MAHINDI          111 1 11                          2401  2402                                 1 12000
70-07-82-731859-001-01 3MAHINDI          11217 11                            0   2402                                 2      
70-07-82-731859-001-01 4ALIZETI          411 3 41                           182  1262                                 1  5000
70-07-82-731859-001-01 5ALIZETI          41216 41                          1081  1262                                 2      
39-53-93-811861-001-01 1MAHINDI          111 1 11                           801   802                                 1  8000
33-06-24-681874-001-01 1MAHINDI          111 1 11                          3241  3242                                 1 27000
32-28-64-631875-001-01 1MAHINDI          111 1 11                          5661  5662                                 1 32000
32-28-64-631875-001-01 2MPUNGA           121 2 12                          3751  2752                                 1 25000
58-08-38-131875-001-03 1MAHINDI          111 1 11 12                        991   992                                 1  4500
58-08-38-131875-001-03 2MPUNGA           121 2 12                           481   752                                 1  3000
58-08-38-131875-001-03 3MPUNGA           12211 12                           271   752                                 2      
62-29-93-461875-001-07 1MAHINDI          111 1 11                          4221  4222                                 1 23500
15-55-16-651876-001-02 1MAHINDI          111 1 11                          3001  3002                                 1 12000
15-55-16-651876-001-02 2MUHOGO           211 1 21                           601   562                                 1  8000
71-47-50-921876-001-04 1MAHINDI          111 1 11                          1201  1202                                 1  6000
41-83-97-521877-001-02 1MAHINDI          111 1 11                          7001  7002                                 1 17500
14-35-65-811877-001-04 1MAHINDI          111 1 11                          4801  4802                                 1 12000
69-30-51-521879-001-01 1MAHINDI          111 1 11                          1201  1202                                 1  6000
69-30-51-521879-001-01 2MPUNGA           121 2 12                          1201  1402                                 1  2100
08-43-62-701893-001-01 1MAHINDI          111 1 11                          2701  2702                                 1 15000
79-60-26-091896-001-01 1MAHINDI          111 1 11                          1761  2162                                 1 12000
18-03-93-661913-001-01 1MAHINDI          111 1 11                          1081  1082                                 1  6000
72-94-88-221916-001-01 1MAHINDI          111 1 11                          3781  3782                                 1 21000
15-84-04-211918-001-01 1MAHINDI          111 1 11                          9001 10802                                 1 60000
15-84-04-211918-001-01 2MAHINDI          112 9 11                          1801 10802                                 2      
40-11-03-431931-001-01 1MAHINDI          111 1 11                          2701  3242                                 1  9000
51-16-84-331932-001-01 1MAHINDI          111 1 11                          5801  5802                                 1 23200
53-04-56-801932-001-02 1MPUNGA           121 2 12                         28921 44501 20001  3076 1  1   2200000 92 921190800
53-04-56-801932-001-02 2MPUNGA           12211 12                         15571 44502                                 2      
53-04-56-801932-001-02 3MAHINDI          111 1 11                          5201  5401   501    50 1  1 2   50000 21 211 15000
55-83-06-851932-001-04 1MAHINDI          111 1 11 43                       5401  5402                                 1 16000
55-83-06-851932-001-04 2KARANGA          431 2 43                          1801  4502                                 2      
04-39-71-361932-001-08 1MAHINDI          111 1 11                          1601  2002                                 1 10000
04-39-71-361932-001-08 2MAHINDI          112 9 11                           401  2002                                 2      
41-12-45-181933-001-01 1MAHINDI          111 1 11 12                       4321  4322                                 1  9500
41-12-45-181933-001-01 2MPUNGA           121 2 12                           851  1502                                 1  2000
41-12-45-181933-001-01 3MPUNGA           12211 12                           651  1502                                 2      
74-41-63-531934-001-01 1MAHINDI          111 1 11                         11701 14042                                 1 39000
74-41-63-531934-001-01 2MAHINDI          112 9 11                          2341 14042                                 2      
66-14-94-181935-001-01 1MAHINDI          111 1 11                          3951  4862                                 1 13500
66-14-94-181935-001-01 2MAHINDI          112 9 11                           901  4862                                 2      
28-72-49-681935-001-06 1MAHINDI          111 1 11                          1601  2162                                 1  6000
28-72-49-681935-001-06 2MAHINDI          112 9 11                           401  2162                                 2      
28-72-49-681935-001-06 3MPUNGA           121 2 12                           701   962                                 1  3000
28-72-49-681935-001-06 4MPUNGA           12211 12                           261   962                                 2      
56-51-57-981936-001-01 1MAHINDI          111 1 11 12 22 32 43 73          10801 10802                                 1 48000
56-51-57-981936-001-01 2MAHINDI          112 9 11 12 22 32 43 73             0  10802                                 2      
56-51-57-981936-001-01 3MPUNGA           121 2 11 12 22 32 43 73           3061  4762                                 1 13600
56-51-57-981936-001-01 4MPUNGA           12211 11 12 22 32 43 73           1701  4762                                 2      
58-41-33-741936-001-02 1MAHINDI          111 1 11 73 80                    4321  4322                                 1 19200
58-41-33-741936-001-02 2MAHINDI          11217 11 73 80                      0   4322                                 2      
20-27-84-751936-001-04 1MAHINDI          111 1 11                         13881 13882                                 1 77000
98-18-22-891937-001-02 1MAHINDI          111 1 11                         10201 10202                                 1 28500
98-18-22-891937-001-02 2MUHOGO           211 1 21                          2301  2502                                 1 11500
12-92-55-031938-001-01 1MAHINDI          111 1 11                          4261  4512                                 1 25100
05-92-83-741938-001-02 1MAHINDI          111 1 11                           401   452                                 1  2000
05-92-83-741938-001-02 2MAHINDI          112 9 11                            51   452                                 2      
29-60-24-001950-001-02 1MAHINDI          111 1 11                          4201  4202                                 1 19000
80-22-16-231951-001-02 1MAHINDI          111 1 11                           601   602                                 1  3000
11-83-65-021952-001-02 1MAHINDI          111 1 11                          1441  1622                                 1  1350
83-93-74-591954-001-01 1MAHINDI          111 1 11                           801   802                                 1  4000
81-77-28-591955-001-01 1MAHINDI          111 1 11                          2341  3242                                 1 27000
01-06-14-471956-001-01 1MPUNGA           121 2 12                        580001  1202                                 1  3500
16-23-33-321957-001-01 1MAHINDI          111 1 11                          1201  1202                                 1  6000
19-09-34-021969-001-01 1MAHINDI          111 1 11                          3151  3782                                 1 31500
19-09-34-021969-001-01 2MAHINDI          112 9 11                           631  3782                                 2      
56-90-00-491970-001-02 1MAHINDI          111 1 11 41                        961  1082                                 1  6000
56-90-00-491970-001-02 2MAHINDI          112 9 11 41                        121  1082                                 2      
56-90-00-491970-001-02 3ALIZETI          411 3 11 41                         52   482                                 1  1500
56-90-00-491970-001-02 4ALIZETI          41210 11 41                        241   482                                 2      
58-50-67-671971-001-01 1MAHINDI          111 1 11                          1681  2522                                 1 11000
58-50-67-671971-001-01 2MAHINDI          112 9 11                           841  2522                                 2      
11-00-28-031972-001-02 1MAHINDI          111 1 11                         10081 12602                                 1105000
11-00-28-031972-001-02 2MAHINDI          112 9 11                          2521 12602                                 2      
11-00-28-031972-001-02 3ALIZETI          411 3 41                           202   702                                 1  7000
11-00-28-031972-001-02 4ALIZETI          41210 41                           501   702                                 2      
19-01-37-031973-001-01 1MAHINDI          111 1 11 41                       1161  1162                                 1  3600
19-01-37-031973-001-01 2MAHINDI          11217 11 41                         0   1162                                 2      
19-01-37-031973-001-01 3ALIZETI          411 3 11 41                         32   322                                 1   800
19-01-37-031973-001-01 4ALIZETI          41210 11 41                        161   322                                 2      
16-14-63-931974-001-01 1MAHINDI          111 1 11                          2701  3242                                 1 18000
16-14-63-931974-001-01 2MAHINDI          112 9 11                           541  3242                                 2      
78-73-09-301976-001-01 1MAHINDI          111 1 11                          1121  1442                                 1 12000
78-73-09-301976-001-01 2MAHINDI          112 9 11                           241  1442                                 2      
